title,DOI,year,screening-phase,decision,exclusion_reason,other_comments,source_database,duplicate_info,authors,abstract,url,venue
Unveiling the frontiers of deep learning: Innovations shaping diverse domains,10.1007/s10489-025-06259-x,2025,f,x,X4,,ACM,,"Ahmed, Shams Forruque; Alam, Md. Sakib Bin; Kabir, Maliha; Afrin, Shaila; Rafa, Sabiha Jannat; Mehjabin, Aanushka; Gandomi, Amir H.",,https://doi.org/10.1007/s10489-025-06259-x,Applied Intelligence
Isolating Uncertainty of the Face Expression Recognition with the Meta-Learning Supervisor Neural Network,10.1145/3480433.3480447,2021,t,x,X4,,ACM,,"Selitskiy, Stanislav; Christou, Nikolaos; Selitskaya, Natalya","We investigate whether the well-known poor performance of the head-on usage of the convolutional neural networks for the facial expression recognition task may be improved in terms of reducing the false positive and false negative errors. An uncertainty isolating technique is used that introduces an additional “unknown” class. A self-attention supervisor artificial neural network is used to “learn about learning” of the underlying convolutional neural networks, in particular, to learn patterns of the underlying neural network parameters that accompany wrong or correct verdicts. A novel data set containing artistic makeup and occlusions images is used to aggravate the problem of the training data not representing the test data distribution.",https://doi.org/10.1145/3480433.3480447,2021 5th International Conference on Artificial Intelligence and Virtual Reality (AIVR)
Dual-mode Index Modulation based on Affine Frequency Division Multiplexing,10.1016/j.phycom.2025.102628,2025,f,x,X1,communication standard,ACM,,"A., Anoop; Thomas, Christo Kurisummoottil; S., Kala; Benifa, J.V. Bibal; Saad, Walid",,https://doi.org/10.1016/j.phycom.2025.102628,Phys. Commun.
Network traffic feature representation with contrastive learning for traffic engineering in hybrid software defined networks,10.1016/j.jnca.2025.104270,2025,t,x,X4,network traffic,ACM,,"Zhou, Weihong; Yang, Ruiyu; Guo, Yingya; Luo, Huan",,https://doi.org/10.1016/j.jnca.2025.104270,J. Netw. Comput. Appl.
Edge computing in Internet of Vehicles: A federated learning method based on Stackelberg dynamic game,10.1016/j.ins.2024.121452,2025,a,x,X4,,ACM,,"Kang, Hong-Shen; Chai, Zheng-Yi; Li, Ya-Lun; Huang, Hao; Zhao, Ying-Jie",,https://doi.org/10.1016/j.ins.2024.121452,Inf. Sci.
Performance of evolutionary wavelet neural networks in acrobot control tasks,10.1007/s00521-019-04347-x,2020,t,x,X4,control,ACM,,"Khan, Maryam Mahsal; Mendes, Alexandre; Chalup, Stephan K.","Wavelet neural networks (WNN) combine the strength of artificial neural networks and the multiresolution ability of wavelets. Determining the structure and, more specifically, the appropriate number of neurons in a WNN is a time-consuming process. We propose a type of multidimensional evolutionary WNN and, using an acrobot, evaluate this approach with two benchmark nonlinear control tasks: a height task and a hand-stand task. To facilitate direct comparison with other methods, we report on swing-up and balance times. In 50 trials, the controllers produced faster swing-up times—1.0 s for the best controller and 2.3 s on average—than any other methods reported in the literature. Moreover, the controller with the best swing-up time had a maximum balance time of 1.25 s, surpassing most other methods.",https://doi.org/10.1007/s00521-019-04347-x,Neural Comput. Appl.
Trajectory prediction of flying vehicles based on deep learning methods,10.1007/s10489-022-04098-8,2022,f,x,X4,,ACM,,"Tan, Minghu; Shen, Hong; Xi, Kang; Chai, Bin","To deal with the threat from flying vehicles, it is of great significance to accurately predict the flight trajectory of flying vehicles using the known historical position data. In this paper, we investigate eight typical types of maneuvers of flying vehicles. Then, according to the kinematics model of the flying vehicle, eight kinds of typical maneuver trajectory equations are introduced. Next, the data set for neural network training is created by varying the critical parameters of the trajectory equation. Accordingly, we train the offline Long-Short Term Memory (LSTM) using 1/12 of the dataset of trajectories, and results show that the trained network can classify types of trajectories accurately. Based on the results of classification using the offline LSTM, we propose two trajectory prediction methods, and both of them achieve excellent prediction with and without noise interference. Furthermore, we propose an online prediction method, and it can accurately predict the subsequent trajectory of flying vehicles when the type of trajectory is not clear. And we propose a filter to improve the accuracy of the online prediction method for trajectory prediction with noise. The simulation results verify that all three previously proposed methods can accurately predict the next move based on historical data.",https://doi.org/10.1007/s10489-022-04098-8,Applied Intelligence
A review of green artificial intelligence: Towards a more sustainable future,10.1016/j.neucom.2024.128096,2024,f,x,X4,mention only drones as data collector,ACM,,"Bolón-Canedo, Verónica; Morán-Fernández, Laura; Cancela, Brais; Alonso-Betanzos, Amparo",,https://doi.org/10.1016/j.neucom.2024.128096,Neurocomput.
A Trajectory Evaluator by Sub-tracks for Detecting VOT-based Anomalous Trajectory,10.1145/3490032,2022,t,x,X4,,ACM,,"Gao, Fei; Li, Jiada; Ge, Yisu; Shao, Jianwen; Lu, Shufang; Weng, Libo","With the popularization of visual object tracking (VOT), more and more trajectory data are obtained and have begun to gain widespread attention in the fields of mobile robots, intelligent video surveillance, and the like. How to clean the anomalous trajectories hidden in the massive data has become one of the research hotspots. Anomalous trajectories should be detected and cleaned before the trajectory data can be effectively used. In this article, a Trajectory Evaluator by Sub-tracks (TES) for detecting VOT-based anomalous trajectory is proposed. Feature of Anomalousness is defined and described as the Eigenvector of classifier to filter Track Lets anomalous trajectory and IDentity Switch anomalous trajectory, which includes Feature of Anomalous Pose and Feature of Anomalous Sub-tracks (FAS). In the comparative experiments, TES achieves better results on different scenes than state-of-the-art methods. Moreover, FAS makes better performance than point flow, least square method fitting and Chebyshev Polynomial Fitting. It is verified that TES is more accurate and effective and is conducive to the sub-tracks trajectory data analysis.",https://doi.org/10.1145/3490032,ACM Trans. Knowl. Discov. Data
Rethinking Similar Object Interference in Single Object Tracking,10.1145/3638584.3638644,2024,f,x,X2,"no SNN, and SOI dataset doesn’t contain drone afaik",ACM,,"Wang, Yipei; Hu, Shiyu; Zhao, Xin","Similar object interference (SOI) problem challenges the single object tracking (SOT) task, leading to the failure of feature-based trackers and subsequent performance degradation. Unfortunately, current generic SOT benchmarks do not effectively tackle this critical challenge, while popular SOT algorithms consistently underestimate the influence they have on tracking performance. To bridge this gap and further enhance the investigation of similar object interference in SOT, we adopt the following viewpoints: (1) By examining the operational principles of mainstream trackers and their performance on representative SOT datasets, we redefine similar objects, taking into account the cognitive bias that exists between trackers and humans when dealing with this challenge. (2) Subsequently, we develop a mining methodology that enables the extraction of the SOI sub-dataset from SOT datasets without relying on human intervention. This methodology comprises two main components: determining the SOI challenge and screening the SOI sequences. The SOI dataset is acquired from representative SOT dataset using our proposed approach, known as SOI2023. This dataset serves as an ideal environment to facilitate the investigation of challenges related to similar object interference. (3) Additionally, we conduct extensive tracking experiments with 20 typical trackers and their variants on SOI2023 and analyze their performance for similar object interference scenes in several dimensions. The experimental results demonstrate the effectiveness of our proposed mining method, while revealing the strengths and weaknesses of current trackers when faced with the challenge of similar object interference. We hope this work can provide inspiration to the tracking community and also provide support and insights for robust tracking under the SOI challenge.",https://doi.org/10.1145/3638584.3638644,Proceedings of the 2023 7th International Conference on Computer Science and Artificial Intelligence
Parallel hyperparameter optimization of spiking neural networks,10.1016/j.neucom.2024.128483,2024,f,x,X4,"MNIST, gesture but no drone detection",ACM,,"Firmin, Thomas; Boulet, Pierre; Talbi, El-Ghazali",,https://doi.org/10.1016/j.neucom.2024.128483,Neurocomput.
HDPG: hyperdimensional policy-based reinforcement learning for continuous control,10.1145/3489517.3530668,2022,t,x,X4,,ACM,,"Ni, Yang; Issa, Mariam; Abraham, Danny; Imani, Mahdi; Yin, Xunzhao; Imani, Mohsen","Traditional robot control or more general continuous control tasks often rely on carefully hand-crafted classic control methods. These models often lack the self-learning adaptability and intelligence to achieve human-level control. On the other hand, recent advancements in Reinforcement Learning (RL) present algorithms that have the capability of human-like learning. The integration of Deep Neural Networks (DNN) and RL thereby enables autonomous learning in robot control tasks. However, DNN-based RL brings both high-quality learning and high computation cost, which is no longer ideal for currently fast-growing edge computing scenarios.In this paper, we introduce HDPG, a highly-efficient policy-based RL algorithm using Hyperdimensional Computing. Hyperdimensional computing is a lightweight brain-inspired learning methodology; its holistic representation of information leads to a well-defined set of hardware-friendly high-dimensional operations. Our HDPG fully exploits the efficient HDC for high-quality state value approximation and policy gradient update. In our experiments, we use HDPG for robotics tasks with continuous action space and achieve significantly higher rewards than DNN-based RL. Our evaluation also shows that HDPG achieves 4.7× faster and 5.3× higher energy efficiency than DNN-based RL running on embedded FPGA.",https://doi.org/10.1145/3489517.3530668,Proceedings of the 59th ACM/IEEE Design Automation Conference
Flow-event autoencoder: event stream object recognition dataset generation with arbitrary high temporal resolution,10.1609/aaai.v38i21.30545,2024,f,x,X4,,ACM,,"Chen, Minghai","Event camera has unique advantages in high temporal resolution and dynamic range. However, due to the novelty of this hardware, there's a lack of large benchmark DVS event-stream datasets, including datasets for object recognition. In this work, we proposed an encoder-decoder method to augment event stream dataset from image and optical flow with arbitrary temporal resolution for object recognition task. We believe this proposed method can be generalized well in augmenting event stream vision data for object recognition and will help advance the development of event vision paradigm.",https://doi.org/10.1609/aaai.v38i21.30545,Proceedings of the Thirty-Eighth AAAI Conference on Artificial Intelligence and Thirty-Sixth Conference on Innovative Applications of Artificial Intelligence and Fourteenth Symposium on Educational Advances in Artificial Intelligence
Process planning of parameter intelligent adjustment for batch machining based on historical data segmented modeling,10.1016/j.engappai.2025.110180,2025,a,x,X4,,ACM,,"Lu, Juan; Tu, Shiying; Li, Ying; Zhang, Liang; Liao, Xiaoping",,https://doi.org/10.1016/j.engappai.2025.110180,Eng. Appl. Artif. Intell.
Deep learning techniques to detect cybersecurity attacks: a systematic mapping study,10.1007/s10664-023-10302-1,2023,t,x,X4,,ACM,,"Torre, Damiano; Mesadieu, Frantzy; Chennamaneni, Anitha",,https://doi.org/10.1007/s10664-023-10302-1,Empirical Softw. Engg.
ST-CSNN: a novel method for vehicle counting,10.1007/s00138-021-01233-2,2021,t,x,X4,,ACM,"Count: 2 | Sources: ACM, Springer Link","Yin, Kang; Wang, Liantao; Zhang, Jinxia","Vehicle counting using computer vision techniques has potential to alleviate traffic congestion in intelligent transportation system. In this paper, we propose a novel method to count vehicles in a human-like manner. This paper has two main contributions. Firstly, we propose ST-CSNN, which is an efficient, lightweight vehicle counting method. The method counts based on vehicle identity comparison to omit duplicate instances. Combined with the spatio-temporal information between frames, it is able to accelerate speed and improve accuracy of counting. Secondly, we strengthen the method’s performance by proposing an improved loss function on the basis of Siamese neural network. Besides, we conduct experiments on several datasets to evaluate the performance of the proposed loss function for verification and the whole method for counting. The experimental results show the practicability of this method for real counting scenes.",https://doi.org/10.1007/s00138-021-01233-2,Mach. Vision Appl.
Artificial Intelligence for Safety-Critical Systems in Industrial and Transportation Domains: A Survey,10.1145/3626314,2024,f,x,"X2,X4",,ACM,,"Perez-Cerrolaza, Jon; Abella, Jaume; Borg, Markus; Donzella, Carlo; Cerquides, Jesús; Cazorla, Francisco J.; Englund, Cristofer; Tauber, Markus; Nikolakopoulos, George; Flores, Jose Luis","Artificial Intelligence (AI) can enable the development of next-generation autonomous safety-critical systems in which Machine Learning (ML) algorithms learn optimized and safe solutions. AI can also support and assist human safety engineers in developing safety-critical systems. However, reconciling both cutting-edge and state-of-the-art AI technology with safety engineering processes and safety standards is an open challenge that must be addressed before AI can be fully embraced in safety-critical systems. Many works already address this challenge, resulting in a vast and fragmented literature. Focusing on the industrial and transportation domains, this survey structures and analyzes challenges, techniques, and methods for developing AI-based safety-critical systems, from traditional functional safety systems to autonomous systems. AI trustworthiness spans several dimensions, such as engineering, ethics and legal, and this survey focuses on the safety engineering dimension.",https://doi.org/10.1145/3626314,ACM Comput. Surv.
OFPO &amp; KGFPO: Ontology and knowledge graph for flood process observation,10.1016/j.envsoft.2025.106317,2025,t,x,X4,,ACM,,"Du, Wenying; Liu, Chang; Xia, Qingyun; Wen, Mengtian; Hu, Ying; Chen, Zeqiang; Xu, Lei; Zhang, Xiang; Terfa, Berhanu Keno; Chen, Nengcheng",,https://doi.org/10.1016/j.envsoft.2025.106317,Environ. Model. Softw.
Improving robustness and efficiency of edge computing models,10.1007/s11276-022-03115-5,2022,a,x,X4,,ACM,,"Li, Yilan; Lu, Yantao; Cui, Helei; Velipasalar, Senem","Existing designs of edge computing models are mostly targeted to improve the performance of accuracy. Yet, besides accuracy, robustness and inference efficiency are also crucial attributes to the performance. To achieve satisfied performance in edge-cloud computing frameworks, each distributed model is required to be both robust to perturbations and feasible for information uploading in wireless environments with limited bandwidth. In other words, feature encoders should be more robust and have faster inference time while maintaining accuracy at a competitive level. Therefore, to design accurate, robust and efficient models for bandwidth limited edge computing, we propose a systematic approach to autonomously optimize parameters and architectures of arbitrary deep neural networks. This approach employs a genetic algorithm based bi-generative adversarial network, which is utilized to autonomously develop and select the number of filters (for convolutional layers) and the number of neurons (for fully connected layers) from a wide range of values. To demonstrate the performance, we test our approach on ImageNet and ModelNet databases, and compare it with the state-of-the-art 3D volumetric network and two exclusively GA-based methods. Our results show that the proposed method can significantly improve performance by simultaneously optimizing multiple neural network parameters, regardless of the depth of the network.",https://doi.org/10.1007/s11276-022-03115-5,Wirel. Netw.
Energy-Efficient Approximate Edge Inference Systems,10.1145/3589766,2023,f,x,"X2,X4",,ACM,,"Ghosh, Soumendu Kumar; Raha, Arnab; Raghunathan, Vijay","The rapid proliferation of the Internet of Things and the dramatic resurgence of artificial intelligence based application workloads have led to immense interest in performing inference on energy-constrained edge devices. Approximate computing (a design paradigm that trades off a small degradation in application quality for disproportionate energy savings) is a promising technique to enable energy-efficient inference at the edge. This article introduces the concept of an approximate edge inference system (AxIS) and proposes a systematic methodology to perform joint approximations between different subsystems in a deep neural network (DNN)-based edge inference system, leading to significant energy benefits compared to approximating individual subsystems in isolation. We use a smart camera system that executes various DNN-based image classification and object detection applications to illustrate how the sensor, memory, compute, and communication subsystems can all be approximated synergistically. We demonstrate our proposed methodology using two variants of a smart camera system: (a) CamEdge, where the DNN is executed locally on the edge device, and (b) CamCloud, where the edge device sends the captured image to a remote cloud server that executes the DNN. We have prototyped such an approximate inference system using an Intel Stratix IV GX-based Terasic TR4-230 FPGA development board. Experimental results obtained using six large DNNs and four compact DNNs running image classification applications demonstrate significant energy savings (≈ 1.6× -4.7× for large DNNs and ≈ 1.5× -3.6× for small DNNs), for minimal (&lt;1%) loss in application-level quality. Furthermore, results using four object detection DNNs exhibit energy savings of ≈ 1.5× -5.2× for similar quality loss. Compared to approximating a single subsystem in isolation, AxIS achieves 1.05× -3.25× gains in energy savings for image classification and 1.35× -4.2× gains for object detection on average, for minimal (&lt;1%) application-level quality loss.",https://doi.org/10.1145/3589766,ACM Trans. Embed. Comput. Syst.
Adaptive neural output feedback control of automobile PEM fuel cell air-supply system with prescribed performance,10.1007/s10489-022-03765-0,2022,t,x,X4,,ACM,"Count: 2 | Sources: ACM, Springer Link","Wang, Yunlong; Liu, Yan; Wang, Yongfu","Oxygen excess ratio (OER) is a key specification of fuel cells, which influences the net power and health state. To reconstitute the unmeasurable variable and achieve precise tracking accuracy, the observer-based adaptive neural network control using a prescribed performance function is proposed for the polymer electrolyte membrane (PEM) fuel cell air-supply system. Firstly, an observer is designed to recover the unmeasurable variable based on the transformed canonical system. Secondly, a finite-time prescribed performance function is constructed to guarantee the maximal overshoot and steady-state tracking error within the quantitative boundary. The contribution of the proposed control scheme can be concluded that: 1) the different errors are simultaneously used to update the neural network weights for the improvement of the observer performance; 2) the restriction that the initial error is required to be within the performance function bound is relaxed by proposing a tuning function and 3) the convergence time and residual set of OER tracking error can be determined qualitatively. The signals included in the air-supply system are proved to be uniformly ultimately bounded. Different numerical simulations and hardware-in-loop (HIL) experiments show that the more accurate estimation is provided by the proposed observer. Meanwhile, the tracking errors are restricted within the predefined bounds. From the experimental results, the proposed observer and controller show the best performance indexes including the root mean square error (RMSE), the mean absolute error (MAE) and the standard deviation (SD) in different conditions.",https://doi.org/10.1007/s10489-022-03765-0,Applied Intelligence
"Random vector functional link network: Recent developments, applications, and future directions",10.1016/j.asoc.2023.110377,2023,f,x,X4,,ACM,,"Malik, A.K.; Gao, Ruobin; Ganaie, M.A.; Tanveer, M.; Suganthan, Ponnuthurai Nagaratnam",,https://doi.org/10.1016/j.asoc.2023.110377,Appl. Soft Comput.
Federated learning for energy constrained devices: a systematic mapping study,10.1007/s10586-022-03763-4,2022,f,x,X4,,ACM,"Count: 2 | Sources: ACM, Springer Link","El Mokadem, Rachid; Ben Maissa, Yann; El Akkaoui, Zineb","Federated machine learning (Fed ML) is a new distributed machine learning technique using clients’ local data applied to collaboratively train a global model without transmitting the datasets. Nodes, the participating devices in the ML training, only send parameter updates (e.g., weight updates in the case of neural networks), which are fused together by the server to build the global model without compromising raw data privacy. Fed ML guarantees its confidentiality by not divulging node data to third party, central servers. Privacy of data is a crucial network security aspect of Fed ML that will enable the technique for use in the context of data-sensitive Internet of Things (IoT) and mobile applications (including smart geo-location and smart grid infrastructure). However, most IoT and mobile devices are particularly energy constrained, which requires optimization of the Fed ML process for efficient training tasks and optimized power consumption. This paper, to the best of our knowledge, is the first Systematic Mapping Study (SMS) on Fed ML for energy constrained devices. First, we selected a total of 67 from 800 papers that satisfy our criteria, then provide a structured overview of the field using a set of carefully chosen research questions. Finally, we attempt to offer an analysis of the state-of-the-art Fed ML techniques and outline potential recommendations for the research community.",https://doi.org/10.1007/s10586-022-03763-4,Cluster Computing
A Rhythmic Activation Mechanism for Soft Multi-legged Robots,10.1007/s10846-021-01345-x,2021,t,x,"X4,X1",,ACM,"Count: 2 | Sources: ACM, Springer Link","Garcia Sampaio, Rafaela Aparecida; e Silva, Fabrício Lopes; de Carvalho, Cristiano de Souza; Araujo, Gabriel Matos; Pinto, Milena Faria; Haddad, Diego Barreto; França, Felipe Maia Galvão","Compared to standard solutions, soft robotics presents enhanced adaptability to unpredictable and unstructured environments, encompassing advances in fabrication, modeling, and control. The absence of a general theory for the latter is one of the biggest challenges in the field, which constrains these robots’ employment in real-world applications. This research proposes the application of Scheduling by Multiple Edge Reversal (SMER) in the activation of soft legs to be applied in multi-legged robots. A soft device was developed to be tested as a robot’s leg to evaluate the proposed application. A logic controller for this device was designed using the SMER technique. Image processing techniques were used to assess the functionality of the proposed strategy, which demands limited resources. The vision tracking system is composed of a set of infrared-reflective patches, an infrared illuminator, and a pair of cameras with no infrared filters. Results revealed that it is possible to use SMER techniques to activate soft robotics systems and that the methods employed to develop and test the device were appropriate.",https://doi.org/10.1007/s10846-021-01345-x,J. Intell. Robotics Syst.
Survey of Quantization-Aware Training (QAT) Applications in Deep Learning Quantization,10.1145/3776759.3776826,2025,f,x,X4,,ACM,,"Zhang, Jiaqi","With the rapid expansion of the AI era, data volumes and computational demands have grown significantly. Quantization-Aware Training (QAT), introduced in 2018, has emerged as a mainstream approach for enabling the quantization of large-scale models while preserving accuracy under constrained hardware resources. In recent years (2024–2025), QAT has been extensively applied in domains such as image recognition, large language models, and diffusion models. However, these applications have also revealed critical challenges, including unstable gradient propagation, increased computational complexity, and significant accuracy degradation under low-bit quantization. Although numerous improved QAT methods have been proposed, they remain fragmented and lack a systematic review. This paper provides a comprehensive survey of QAT by (i) tracing its historical development, (ii) clarifying its core definition, (iii) contrasting QAT with Post-Training Quantization (PTQ), and (iv) summarizing its applications across major fields. Furthermore, we categorize existing literature into six primary problem areas and four classes of solution strategies. As a survey, this work aims to offer researchers a structured perspective on QAT and to serve as a reference for future efforts in optimizing quantization techniques and facilitating practical deployment.",https://doi.org/10.1145/3776759.3776826,Proceedings of the 2025 International Symposium on Artificial Intelligence and Computational Social Sciences
Event-driven temporal models for explanations - ETeMoX: explaining reinforcement learning,10.1007/s10270-021-00952-4,2022,t,x,X4,,ACM,,"Parra-Ullauri, Juan Marcelo; García-Domínguez, Antonio; Bencomo, Nelly; Zheng, Changgang; Zhen, Chen; Boubeta-Puig, Juan; Ortiz, Guadalupe; Yang, Shufan","Modern software systems are increasingly expected to show higher degrees of autonomy and self-management to cope with uncertain and diverse situations. As a consequence, autonomous systems can exhibit unexpected and surprising behaviours. This is exacerbated due to the ubiquity and complexity of Artificial Intelligence (AI)-based systems. This is the case of Reinforcement Learning (RL), where autonomous agents learn through trial-and-error how to find good solutions to a problem. Thus, the underlying decision-making criteria may become opaque to users that interact with the system and who may require explanations about the system’s reasoning. Available work for eXplainable Reinforcement Learning (XRL) offers different trade-offs: e.g. for runtime explanations, the approaches are model-specific or can only analyse results after-the-fact. Different from these approaches, this paper aims to provide an online model-agnostic approach for XRL towards trustworthy and understandable AI. We present ETeMoX, an architecture based on temporal models to keep track of the decision-making processes of RL systems. In cases where the resources are limited (e.g. storage capacity or time to response), the architecture also integrates complex event processing, an event-driven approach, for detecting matches to event patterns that need to be stored, instead of keeping the entire history. The approach is applied to a mobile communications case study that uses RL for its decision-making. In order to test the generalisability of our approach, three variants of the underlying RL algorithms are used: Q-Learning, SARSA and DQN. The encouraging results show that using the proposed configurable architecture, RL developers are able to obtain explanations about the evolution of a metric, relationships between metrics, and were able to track situations of interest happening over time windows.",https://doi.org/10.1007/s10270-021-00952-4,Softw. Syst. Model.
A fully pipelined FPGA accelerator for scale invariant feature transform keypoint descriptor matching,10.1016/j.micpro.2019.102919,2020,t,x,X4,,ACM,,"Daoud, Luka; Latif, Muhammad Kamran; Jacinto, H.S.; Rafla, Nader",,https://doi.org/10.1016/j.micpro.2019.102919,Microprocess. Microsyst.
Modelling Drosophila motion vision pathways for decoding the direction of translating objects against cluttered moving backgrounds,10.1007/s00422-020-00841-x,2020,a,x,X4,,ACM,,"Fu, Qinbing; Yue, Shigang","Decoding the direction of translating objects in front of cluttered moving backgrounds, accurately and efficiently, is still a challenging problem. In nature, lightweight and low-powered flying insects apply motion vision to detect a moving target in highly variable environments during flight, which are excellent paradigms to learn motion perception strategies. This paper investigates the fruit fly Drosophila motion vision pathways and presents computational modelling based on cutting-edge physiological researches. The proposed visual system model features bio-plausible ON and OFF pathways, wide-field horizontal-sensitive (HS) and vertical-sensitive (VS) systems. The main contributions of this research are on two aspects: (1) the proposed model articulates the forming of both direction-selective and direction-opponent responses, revealed as principal features of motion perception neural circuits, in a feed-forward manner; (2) it also shows robust direction selectivity to translating objects in front of cluttered moving backgrounds, via the modelling of spatiotemporal dynamics including combination of motion pre-filtering mechanisms and ensembles of local correlators inside both the ON and OFF pathways, which works effectively to suppress irrelevant background motion or distractors, and to improve the dynamic response. Accordingly, the direction of translating objects is decoded as global responses of both the HS and VS systems with positive or negative output indicating preferred-direction or null-direction translation. The experiments have verified the effectiveness of the proposed neural system model, and demonstrated its responsive preference to faster-moving, higher-contrast and larger-size targets embedded in cluttered moving backgrounds.",https://doi.org/10.1007/s00422-020-00841-x,Biol. Cybern.
BitBench: a benchmark for bitstream computing,10.1145/3316482.3326355,2019,a,x,X4,,ACM,,"Daruwalla, Kyle; Zhuo, Heng; Schulz, Carly; Lipasti, Mikko","With the recent increase in ultra-low power applications, researchers are investigating alternative architectures that can operate on streaming input data. These target use cases require complex algorithms that must be evaluated under a real-time deadline, but also satisfy the strict available power budget. Stochastic computing (SC) is an example of an alternative paradigm where the data is represented as single bitstreams, allowing designers to implement operations such as multiplication using a simple AND gate. Consequently, the resulting design is both low area and low power. Similarly, traditional digital filters can take advantage of streaming inputs to effectively choose coefficients, resulting in a low cost implementation. In this work, we construct six key algorithms to characterize bitstream computing. We present these algorithms as a new benchmark suite: BitBench.",https://doi.org/10.1145/3316482.3326355,"Proceedings of the 20th ACM SIGPLAN/SIGBED International Conference on Languages, Compilers, and Tools for Embedded Systems"
Retinomorphic Sensing: A Novel Paradigm for Future Multimedia Computing,10.1145/3474085.3479237,2021,t,x,X4,,ACM,,"Kang, Zhaodong; Li, Jianing; Zhu, Lin; Tian, Yonghong","Conventional frame-based cameras for multimedia computing have encountered important challenges in high-speed and extreme light scenarios. However, how to design a novel paradigm for visual perception that overcomes the disadvantages of conventional cameras still remains an open issue. In this paper, we propose a novel solution, namely retinomorphic sensing, which integrates fovea-like and peripheral-like sampling mechanisms to generate asynchronous visual streams using a unified representation as the retina does. Technically, our encoder incorporates an interaction controller to switch flexibly between dynamic and static sensing. Then, the decoder effectively extracts dynamic events for machine vision and reconstructs visual textures for human vision. The results show that our strategy enables it to sense dynamic events and visual textures meanwhile reduce data redundancy. We further build a prototype hybrid camera system to verify this strategy on vision tasks such as image reconstruction and object detection. We believe that this novel paradigm will provide insight into future multimedia computing. The code can be available at https://github.com/acmmm2021-bni-retinomorphic/retinomorphic-sensing.",https://doi.org/10.1145/3474085.3479237,Proceedings of the 29th ACM International Conference on Multimedia
Understanding the impact of IoT security patterns on CPU usage and energy consumption: a dynamic approach for selecting patterns with deep reinforcement learning: Understanding the impact of IoT security patterns on CPU usage and energy...,10.1007/s10207-025-01011-5,2025,t,x,X4,,ACM,,"Jamshidi, Saeid; Nikanjam, Amin; Nafi, Kawser Wazed; Khomh, Foutse","The Internet of Things (IoT) introduces numerous security challenges that require effective solutions. IoT security patterns provide a practical approach to address recurring security issues, yet their impact on edge gateway metrics, e.g., energy consumption, CPU usage, and load, remains largely unexplored. This study empirically evaluates six IoT security patterns (Personal Zone Hub, trusted communication partner, outbound-only connection, blacklist, whitelist, and secure sensor node) in three IoT-edge applications: smart home, smart city, and healthcare. We evaluated the patterns individually and in combination, subjecting them to cyber threats. Subsequently, we analyzed their impact on energy consumption, CPU usage, and load. To address observed resource trade-offs, we also propose a deep reinforcement learning-based intrusion detection system that dynamically selects security patterns based on real-time conditions. Tested against threats (for example, DoS Hulk, Slowloris, DDoS, and GoldenEye), this adaptive approach optimizes security and resource efficiency, selecting the most suitable patterns for each scenario. The findings show that pattern selection significantly impacts resource metrics and that the DRL-based system maintains robust security while minimizing energy and CPU overheads. Based on these findings, we provide guidelines for developers to improve IoT-edge security by optimizing resource consumption.",https://doi.org/10.1007/s10207-025-01011-5,Int. J. Inf. Secur.
"Picking the ICT technology winners - longitudinal analysis of 21st century technologies based on the Gartner hype cycle 2008-2017: trends, tendencies, and weak signals",10.1504/ijwet.2020.113065,2020,f,x,X4,,ACM,,"Kaivo-oja, Jari; Lauraéus, Theresa; Knudsen, Mikkel Stein","We analyse longitudinal data of the 2008-2017 Gartner hype cycles and key ICT technologies (151 technologies) in the world. In this study, we have calculated six different index analyses. Our analyses use the following index analyses: 1) ranking index analysis; 2) technology power index analysis; 3) better than other technology power index analysis; 4) triangulation index analysis; 5) weak signal analysis; 6) outlayer analysis. These six analyses are novel analyses. We ranked the information from hype cycles giving a rank for every observed technology. Information of calculations is public and open in the internet publications of the Gartner Ltd. We were able to see the top ten technologies: 1) augmented reality; 2) human augmentation; 3) quantum computing; 4) speech recognition; 5) mobile robots; 6) autonomous vehicles; 7) speech-to-speech translation; 8) mesh network sensor; 9) local-aware applications; 10) idea management.",https://doi.org/10.1504/ijwet.2020.113065,Int. J. Web Eng. Technol.
The Application of Deep Learning in Image Deblurring,10.1145/3690407.3690586,2024,f,x,X1,drone landing,ACM,,"Jiang, Chengchao; Hu, Lei; Jia, Guotao","Images are an important medium for people to obtain information. In the process of acquiring images, it is inevitable that images will become blurred due to various reasons. Image restoration is a technical method that uses algorithms to enhance image quality and is an important research field in computer vision. It is widely used in industrial, agricultural, and medical image processing. In recent years, with the rapid development of deep learning technology, an increasing number of image restoration algorithms based on deep neural networks have been proposed. This paper mainly introduces image restoration technology based on deep neural networks from the perspective of image deblurring. The paper first elaborates on the overall classification of image restoration algorithms, then discusses the causes of image blurring and commonly used traditional algorithms, deep learning algorithms, and models. Finally, the paper summarizes the advantages and disadvantages of various image restoration methods and prospects for the future development of image restoration technology.",https://doi.org/10.1145/3690407.3690586,"Proceedings of the 2024 4th International Conference on Artificial Intelligence, Big Data and Algorithms"
Multiple particle tracking in time-lapse synchrotron X-ray images using discriminative appearance and neighbouring topology learning,10.1016/j.patcog.2019.05.007,2019,t,x,X4,,ACM,,"Jung, Hye-Won; Lee, Sang-Heon; Donnelley, Martin; Parsons, David; Stamatescu, Victor; Lee, Ivan",,https://doi.org/10.1016/j.patcog.2019.05.007,Pattern Recogn.
